Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5fHM2vPjztxcpSZVjCydpC,"Mustard","The Price Of Tea In China","Boldy James;The Alchemist",2020-02-07,92506,31,true,dinismbraposo,2026-01-19T15:47:09Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.819,0.403,1,-13.695,1,0.307,0.687,0.0000218,0.135,0.435,103.579,4
spotify:track:27gBQixOS3lFBP706lsFVi,"Phone Bill","The Price Of Tea In China","Boldy James;The Alchemist",2020-02-07,231292,35,true,dinismbraposo,2026-01-19T15:47:11Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.406,0.468,8,-12.564,1,0.151,0.868,0.0000779,0.0632,0.659,73.256,4
spotify:track:6g75lRBQ2l5RSWrlcCSW2J,"Held Me Down","Real Bad Boldy","Boldy James;Real Bad Man",2020-12-11,206785,33,true,dinismbraposo,2026-01-19T15:47:13Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","Real Bad Man Records",0.56,0.837,10,-7.909,0,0.13,0.113,0.0000143,0.128,0.569,167.921,4
spotify:track:0GPbZGsejbwe1Ot6VS2G5h,"Bumps and Bruises","Super Tecmo Bo","Boldy James;The Alchemist",2021-12-17,217920,51,true,dinismbraposo,2026-01-19T15:47:17Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.484,0.457,11,-13.508,0,0.436,0.887,0,0.331,0.619,68.757,4
spotify:track:0bOZ9Im5CYFoaDCusSub2u,"Level Tipping Scales","Super Tecmo Bo","Boldy James;The Alchemist",2021-12-17,95440,50,true,dinismbraposo,2026-01-19T15:47:19Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.656,0.518,1,-12.62,1,0.344,0.434,0,0.0908,0.513,77.289,4
spotify:track:40OaGnIeyyDFjCnqF5jb2c,"No Laughing Matter","Super Tecmo Bo","Boldy James;The Alchemist",2021-12-17,125946,50,true,dinismbraposo,2026-01-19T15:47:21Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.518,0.676,7,-9.332,1,0.308,0.578,0.00836,0.365,0.452,141.016,4
spotify:track:1NQOMoGKW5CeBFIkRwMDIb,"Hot Water Tank","Super Tecmo Bo","Boldy James;The Alchemist;ICECOLDBISHOP",2021-12-17,178520,51,true,dinismbraposo,2026-01-19T15:47:24Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental,hip-hop underground","ALC / Boldy James",0.549,0.487,5,-9.64,0,0.347,0.0893,0.00118,0.609,0.212,142.238,4
spotify:track:47FkzJm1bUaIc0OaGZvslL,"Great Adventures","Super Tecmo Bo","Boldy James;The Alchemist",2021-12-17,107253,60,true,dinismbraposo,2026-01-19T15:47:26Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.499,0.468,1,-11.023,1,0.522,0.703,0,0.167,0.719,163.117,4
spotify:track:3jmtnXbu36cMJuAY16XaWt,"Moth In The Flame","Super Tecmo Bo","Boldy James;The Alchemist",2021-12-17,264160,42,true,dinismbraposo,2026-01-19T15:47:28Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.635,0.511,8,-11.934,1,0.226,0.604,0.0152,0.525,0.474,114.986,4
spotify:track:5wuW2b9GfiRkNj4C2s5wCv,"300 Fences","Super Tecmo Bo","Boldy James;The Alchemist",2021-12-17,166360,39,true,dinismbraposo,2026-01-19T15:47:29Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.547,0.35,6,-13.341,0,0.299,0.918,0.0000114,0.0765,0.682,76.459,4
spotify:track:2GsNEmPSmEGDzDt5yIshH5,"Guilt","Super Tecmo Bo","Boldy James;The Alchemist",2021-12-17,196813,39,true,dinismbraposo,2026-01-19T15:47:31Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.399,0.469,1,-12.776,1,0.121,0.841,0.0000199,0.14,0.328,92.96,4
spotify:track:7xwQkGBliLat9F9F88fmLI,"Francois","Super Tecmo Bo","Boldy James;The Alchemist",2021-12-17,211266,44,true,dinismbraposo,2026-01-19T15:47:33Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.512,0.795,2,-10.438,1,0.366,0.481,0.73,0.108,0.499,150.09,4
spotify:track:4jtkMB1q0M4icd8Xnwpiwx,"Chef Dreds","WWCD","Griselda",2019-11-29,168938,52,true,dinismbraposo,2026-01-19T15:47:53Z,"boom bap","Shady Records",0.662,0.928,11,-4.489,1,0.373,0.126,0,0.676,0.567,92.261,4
spotify:track:0zcJGjp6tHh6CnDsGktacx,"Moselle","WWCD","Griselda",2019-11-29,239817,44,true,dinismbraposo,2026-01-19T15:47:53Z,"boom bap","Shady Records",0.706,0.913,5,-5.59,1,0.481,0.199,0,0.117,0.483,150.098,4
